query_id,query,relevant_laws (自動標註),relevant_laws (人工修正),source,notes
synthetic_道路交通管理處罰條例第 3 條_penalty_一,道路:指公路、街道、巷衖、廣場、騎樓、走廊或其他供公眾通行之地方。會受到什麼處罰？,道路交通管理處罰條例第 3 條,,synthetic,
synthetic_道路交通管理處罰條例第 3 條_penalty_二,"車道:指以劃分島、護欄或標線劃定道路之部分,及其他供車輛行駛之道路。會受到什麼處罰？",道路交通管理處罰條例第 3 條,,synthetic,
synthetic_道路交通管理處罰條例第 3 條_penalty_三,"人行道:指為專供行人通行之騎樓、走廊,及劃設供行人行走之地面道路,與人行天橋及人 行地下道。會受到什麼處罰？",道路交通管理處罰條例第 3 條,,synthetic,
synthetic_道路交通管理處罰條例第 3 條_penalty_四,"行人穿越道:指在道路上以標線劃設,供行人穿越道路之地方。會受到什麼處罰？",道路交通管理處罰條例第 3 條,,synthetic,
synthetic_道路交通管理處罰條例第 3 條_penalty_五,"標誌:指管制道路交通,表示警告、禁制、指示,而以文字或圖案繪製之標牌。會受到什麼處罰？",道路交通管理處罰條例第 3 條,,synthetic,
synthetic_道路交通管理處罰條例第 3 條_penalty_六,"標線:指管制道路交通,表示警告、禁制、指示,而在路面或其他設施上劃設之線條、圖形 或文字。會受到什麼處罰？",道路交通管理處罰條例第 3 條,,synthetic,
synthetic_道路交通管理處罰條例第 3 條_penalty_七,"號誌:指管制道路交通,表示行進、注意、停止,而以手勢、光色、音響、文字等指示之訊 號。會受到什麼處罰？",道路交通管理處罰條例第 3 條,,synthetic,
synthetic_道路交通管理處罰條例第 3 條_penalty_八,"車輛:指非依軌道電力架設,而以原動機行駛之汽車(包括機車)、慢車及其他行駛於道路之 動力車輛。會受到什麼處罰？",道路交通管理處罰條例第 3 條,,synthetic,
synthetic_道路交通管理處罰條例第 3 條_penalty_九,大眾捷運系統車輛:指大眾捷運法所定大眾捷運系統使用之專用動力車輛。會受到什麼處罰？,道路交通管理處罰條例第 3 條,,synthetic,
synthetic_道路交通管理處罰條例第 3 條_penalty_十一,"停車:指車輛停放於道路兩側或停車場所,而不立即行駛。會受到什麼處罰？",道路交通管理處罰條例第 3 條,,synthetic,
synthetic_道路交通管理處罰條例第 5 條_penalty_一,"指定某線道路或某線道路區段禁止或限制車輛、行人通行,或禁止穿越道路,或禁止停車及 臨時停車。會受到什麼處罰？",道路交通管理處罰條例第 5 條,,synthetic,
synthetic_道路交通管理處罰條例第 5 條_penalty_二,劃定行人徒步區。會受到什麼處罰？,道路交通管理處罰條例第 5 條,,synthetic,
synthetic_道路交通管理處罰條例第 7-2 條_penalty_一,闖紅燈或平交道。會受到什麼處罰？,道路交通管理處罰條例第 7-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 7-2 條_penalty_二,搶越行人穿越道。會受到什麼處罰？,道路交通管理處罰條例第 7-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 7-2 條_penalty_三,"在道路收費停車處所停車,不依規定繳費。會受到什麼處罰？",道路交通管理處罰條例第 7-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 7-2 條_penalty_四,"不服指揮稽查而逃逸,或聞消防車、救護車、警備車、工程救險車、毒性化學物質災害事故 應變車之警號不立即避讓。會受到什麼處罰？",道路交通管理處罰條例第 7-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 7-2 條_penalty_五,"違規停車或搶越行人穿越道,經各級學校交通服務隊現場導護人員簽證檢舉。會受到什麼處罰？",道路交通管理處罰條例第 7-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 7-2 條_penalty_六,"行經收費之道路,不依規定繳費。會受到什麼處罰？",道路交通管理處罰條例第 7-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 7-2 條_penalty_三,違規超車。會受到什麼處罰？,道路交通管理處罰條例第 7-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 7-2 條_penalty_四,違規停車而駕駛人不在場。會受到什麼處罰？,道路交通管理處罰條例第 7-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 7-2 條_penalty_五,未依規定行駛車道。會受到什麼處罰？,道路交通管理處罰條例第 7-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 7-2 條_penalty_六,未依規定轉彎及變換車道。會受到什麼處罰？,道路交通管理處罰條例第 7-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 7-2 條_penalty_七,未保持安全距離。會受到什麼處罰？,道路交通管理處罰條例第 7-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 7-2 條_penalty_八,跨越禁止變換車道線或槽化線。會受到什麼處罰？,道路交通管理處罰條例第 7-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 7-2 條_penalty_九,行車速度超過規定之最高速限或低於規定之最低速限。會受到什麼處罰？,道路交通管理處罰條例第 7-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 12 條_penalty_一,未領用牌照行駛。會受到什麼處罰？,道路交通管理處罰條例第 12 條,,synthetic,
synthetic_道路交通管理處罰條例第 12 條_penalty_二,"拼裝車輛未經核准領用牌證行駛,或已領用牌證而變更原登檢規格、不依原規定用途行駛。會受到什麼處罰？",道路交通管理處罰條例第 12 條,,synthetic,
synthetic_道路交通管理處罰條例第 12 條_penalty_三,使用偽造、變造或矇領之牌照。會受到什麼處罰？,道路交通管理處罰條例第 12 條,,synthetic,
synthetic_道路交通管理處罰條例第 12 條_penalty_四,使用吊銷、註銷之牌照。會受到什麼處罰？,道路交通管理處罰條例第 12 條,,synthetic,
synthetic_道路交通管理處罰條例第 12 條_penalty_五,牌照借供他車使用或使用他車牌照。會受到什麼處罰？,道路交通管理處罰條例第 12 條,,synthetic,
synthetic_道路交通管理處罰條例第 12 條_penalty_六,牌照吊扣期間行駛。會受到什麼處罰？,道路交通管理處罰條例第 12 條,,synthetic,
synthetic_道路交通管理處罰條例第 12 條_penalty_七,已領有號牌而未懸掛或不依指定位置懸掛。會受到什麼處罰？,道路交通管理處罰條例第 12 條,,synthetic,
synthetic_道路交通管理處罰條例第 12 條_penalty_八,"牌照業經繳銷、報停、吊銷、註銷,無牌照仍行駛。會受到什麼處罰？",道路交通管理處罰條例第 12 條,,synthetic,
synthetic_道路交通管理處罰條例第 12 條_penalty_九,報廢登記之汽車仍行駛。會受到什麼處罰？,道路交通管理處罰條例第 12 條,,synthetic,
